# vac_wave	air_wave		line
5001.387	4999.992151407351	0.0
5035.923	5034.518972402043	0.0
5035.926	5034.521971604546	1.0
5035.929	5034.524970807049	1.0
5035.932	5034.527970009552	0.0
5038.6769	5037.2721403152955	0.0
5038.6799	5037.275139517774	1.0
5038.7488	5037.344021201361	1.0
5038.7518	5037.347020403839	0.0
5039.0875	5037.682631160967	0.0
5039.0905	5037.685630363442	1.0
5039.1685	5037.763609627784	1.0
5039.1715	5037.7666088302585	0.0
5043.295	5041.889012606159	0.0
5043.298	5041.892011808595	1.0
5043.304	5041.898010213472	1.0
5043.307	5041.901009415908	0.0
5043.529	5042.122950396231	0.0
5043.532	5042.125949598666	1.0
5043.541	5042.134947205974	1.0
5043.544	5042.137946408409	0.0
5044.2911	5042.884847787484	0.0
5044.2941	5042.887846989913	1.0
5044.3362	5042.9299357973305	1.0
5044.3392	5042.932934999761	0.0
5044.4472	5043.040906287174	0.0
5044.4502	5043.0439054896015	1.0
5044.5132	5043.106888740577	1.0
5044.5162	5043.109887943004	0.0
5045.3355	5043.928970124854	0.0
5045.3385	5043.931969327274	1.0
5045.3925	5043.985954970826	1.0
5045.3955	5043.988954173245	0.0
5057.8066	5056.3967543296285	0.0
5057.8096	5056.399753531939	1.0
5057.8577	5056.44784074231	1.0
5057.8607	5056.450839944621	0.0
5058.956	5057.545848706201	0.0
5058.959	5057.5488479085	1.0
5059.0343	5057.624127886229	1.0
5059.0373	5057.627127088528	0.0
5061.3883	5059.977501949244	0.0
5061.3913	5059.980501151523	1.0
5061.4395	5060.0286883348035	1.0
5061.4425	5060.031687537081	0.0
5067.3172	5065.904825362269	0.0
5067.3202	5065.907824564495	1.0
5067.3805	5065.968108529261	1.0
5067.3835	5065.971107731488	0.0
5068.5623	5067.149594257809	0.0
5068.5653	5067.152593460027	1.0
5068.6196	5067.206879020142	1.0
5068.6226	5067.2098782223575	0.0
5074.2461	5072.8318827307	0.0
5074.2491	5072.834881932868	1.0
5074.3216	5072.907362651904	1.0
5074.3246	5072.91036185407	0.0
5077.8365	5076.421327866021	0.0
5077.8395	5076.424327068156	1.0
5077.8938	5076.478612626819	1.0
5077.8969	5076.481711802359	0.0
5080.5165	5079.100615097491	0.0
5080.5195	5079.1036142996045	1.0
5080.58	5079.164098208882	1.0
5080.583	5079.167097410995	0.0
5407.2409	5405.737975976279	0.0
5407.2441	5405.741175122498	1.0
5407.2666	5405.763669119354	1.0
5407.2698	5405.766868265573	0.0
5415.8458	5414.340580048253	0.0
5415.849	5414.343779194409	1.0
5415.8684	5414.363174017978	1.0
5415.8716	5414.3663731641345	0.0
5685.3697	5683.792484501647	0.0
5685.3731	5683.795883592485	1.0
5685.4711	5683.893857387225	1.0
5685.4745	5683.897256478063	0.0
5688.9897	5687.41151649897	0.0
5688.9931	5687.414915589783	1.0
5689.1081	5687.529884837896	1.0
5689.1115	5687.5332839287075	0.0
5691.1255	5689.546745365344	0.0
5691.1289	5689.550144456144	1.0
5691.1933	5689.614527234819	1.0
5691.1966	5689.617826352362	0.0
5691.9585	5690.379522610648	0.0
5691.9618	5690.382821728184	1.0
5692.0329	5690.453902715086	1.0
5692.0363	5690.457301805879	0.0
5693.9362	5692.356693743317	0.0
5693.9396	5692.360092834098	1.0
5694.048	5692.468463846052	1.0
5694.0514	5692.4718629368335	0.0
5699.7177	5698.136647637706	0.0
5699.7211	5698.1400467284475	1.0
5699.7991	5698.218025869014	1.0
5699.8025	5698.221424959756	0.0
5700.8401	5699.258747474671	0.0
5700.8435	5699.2621465654065	1.0
5700.9283	5699.34692388727	1.0
5700.9317	5699.350322978006	0.0
5702.2511	5700.669370127963	0.0
5702.2545	5700.672769218689	1.0
5702.3325	5700.750748358871	1.0
5702.3359	5700.7541474495965	0.0
5715.5978	5714.012500600811	0.0
5715.6012	5714.01589969145	1.0
5715.693	5714.107675138675	1.0
5715.6964	5714.111074229313	0.0
5719.0228	5717.436584541313	0.0
5719.0262	5717.439983631929	1.0
5719.1452	5717.5589518034685	1.0
5719.1486	5717.562350894085	0.0
5720.4824	5718.895794145997	0.0
5720.4859	5718.899293209856	1.0
5720.5505	5718.963875931372	1.0
5720.5539	5718.967275021978	0.0
5721.0916	5719.504831203687	0.0
5721.095	5719.508230294289	1.0
5721.2346	5719.64779295547	1.0
5721.238	5719.6511920460725	0.0
5722.0446	5720.457576303993	0.0
5722.048	5720.460975394589	1.0
5722.1195	5720.532456270355	1.0
5722.1229	5720.53585536095	0.0
5723.4677	5721.880295663018	0.0
5723.4711	5721.883694753604	1.0
5723.5766	5721.989166535037	1.0
5723.58	5721.992565625622	0.0
5725.4325	5723.844570125471	0.0
5725.4359	5723.847969216045	1.0
5725.5143	5723.9263482457445	1.0
5725.5177	5723.9297473363185	0.0
5728.3999	5726.811176402099	0.0
5728.4033	5726.814575492652	1.0
5728.5089	5726.920147246338	1.0
5728.5123	5726.923546336892	0.0
5730.046	5728.456836094211	0.0
5730.0494	5728.460235184755	1.0
5730.0938	5728.504623308326	1.0
5730.0972	5728.508022398871	0.0
5731.1744	5729.584934260574	0.0
5731.1778	5729.588333351111	1.0
5731.304	5729.714499593953	1.0
5731.3074	5729.717898684489	0.0
5731.379	5729.789479532237	0.0
5731.3824	5729.792878622773	1.0
5731.4438	5729.854262198905	1.0
5731.4472	5729.857661289439	0.0
5734.6496	5733.05920467045	0.0
5734.653	5733.062603760964	1.0
5734.694	5733.103592793631	1.0
5734.6974	5733.106991884144	0.0
5737.1166	5735.525544752332	0.0
5737.12	5735.52894384283	1.0
